1,1,0,277,1
2,3,0,208,1
3,45,0,598,1
4,17,0,2324,1
5,8,0,1310,1
6,3,0,1197,1
7,11,0,1379,1
8,1,0,2743,1
9,3,0,925,1
10,7,0,1408,1
11,10,0,1729,1
12,13,0,523,1
13,7,0,2013,1
14,8,0,1240,1
15,5,0,2028,1
16,1,0,25,1
17,29,0,2887,1
18,20,0,877,1
19,6,0,51,1
20,5,0,362,1
21,2,0,1143,1
22,3,0,1876,1
23,10,0,833,1
24,2,0,1102,1
25,23,0,2943,1
26,12,0,1817,1
27,24,0,1953,1
28,3,0,729,1
29,6,0,2313,1
30,8,0,1774,1
31,6,0,43,1
32,2,0,2910,1
33,1,0,1344,1
34,7,0,1612,1
35,2,0,2945,1
36,5,0,126,1
37,6,0,1297,1
38,3,0,1702,1
39,1,0,2671,1
40,8,0,185,1
41,11,0,365,1
42,9,0,1479,1
43,10,0,1529,1
44,13,0,899,1
45,1,0,2307,1
46,21,0,743,1
47,19,0,1683,1
48,5,0,2487,1
49,10,0,171,1
50,3,0,424,1
51,4,0,1548,1
52,8,0,1789,1
53,12,0,2133,1
54,14,0,500,1
55,16,0,1649,1
56,2,0,881,1
57,8,0,1589,1
58,7,0,2931,1
59,8,0,2915,1
60,1,0,639,1
61,13,0,1872,1
62,1,0,1917,1
63,7,0,2913,1
64,18,0,792,1
65,9,0,1268,1
66,7,0,476,1
67,6,0,1895,1
68,7,0,2876,1
69,31,0,1101,1
70,27,0,2801,1
71,9,0,2979,1
72,5,0,2308,1
73,9,0,496,1
74,13,0,1875,1
75,2,0,2223,1
76,9,0,1286,1
77,4,0,2158,1
78,2,0,2451,1
79,6,0,1634,1
80,8,0,1335,1
81,8,0,2321,1
82,21,0,1676,1
83,1,0,1182,1
84,1,0,969,1
85,2,0,2195,1
86,13,0,43,1
87,8,0,1177,1
88,16,0,2228,1
89,3,0,315,1
90,1,0,189,1
91,10,0,1262,1
92,8,0,1879,1
93,6,0,1244,1
94,17,0,1003,1
95,8,0,1615,1
96,8,0,1487,1
97,6,0,576,1
98,10,0,559,1
99,4,0,609,1
100,69,0,2827,1
101,9,0,2269,1
102,5,0,1728,1
103,3,0,2386,1
104,1,0,2560,1
105,3,0,1698,1
106,6,0,480,1
107,19,0,570,1
108,1,0,2245,1
109,10,0,2500,1
110,4,0,2331,1
111,6,0,2566,1
112,6,0,418,1
113,4,0,2340,1
114,8,0,2717,1
115,2,0,2472,1
116,6,0,1148,1
117,8,0,922,1
118,1,0,1206,1
119,21,0,1332,1
120,8,0,2782,1
121,6,0,1966,1
122,9,0,1268,1
123,6,0,1705,1
124,8,0,1698,1
125,1,0,1974,1
126,25,0,1523,1
127,4,0,2352,1
128,13,0,845,1
129,19,0,2197,1
130,5,0,1183,1
131,5,0,733,1
132,8,0,1084,1
133,16,0,2045,1
134,8,0,1147,1
135,8,0,897,1
136,8,0,390,1
137,20,0,259,1
138,10,0,2457,1
139,14,0,2243,1
140,8,0,2053,1
141,8,0,1749,1
142,10,0,211,1
143,21,0,2174,1
144,1,0,2655,1
145,3,0,1069,1
146,2,0,1018,1
147,4,0,1451,1
148,6,0,2323,1
149,21,0,2060,1
150,25,0,1142,1
151,37,0,2903,1
152,1,0,2182,1
153,6,0,501,1
154,13,0,1593,1
155,8,0,629,1
156,7,0,1191,1
157,11,0,1006,1
158,4,0,2711,1
159,5,0,2007,1
160,13,0,749,1
161,15,0,2299,1
162,3,0,2867,1
163,3,0,99,1
164,1,0,2698,1
165,14,0,927,1
166,3,0,2704,1
167,35,0,1239,1
168,1,0,639,1
169,8,0,1892,1
170,21,0,1104,1
171,4,0,437,1
172,13,0,2668,1
173,7,0,2171,1
174,33,0,1744,1
175,1,0,1543,1
176,6,0,83,1
177,1,0,1121,1
178,4,0,2413,1
179,7,0,1561,1
180,16,0,2919,1
181,10,0,508,1
182,1,0,254,1
183,8,0,184,1
184,1,0,116,1
185,18,0,2359,1
186,1,0,661,1
187,14,0,1450,1
188,14,0,794,1
189,5,0,1114,1
190,6,0,762,1
191,28,0,1204,1
192,8,0,1531,1
193,2,0,1257,1
194,3,0,525,1
195,5,0,1331,1
196,5,0,1142,1
197,5,0,1010,1
198,13,0,1375,1
199,4,0,448,1
200,2,0,2153,1
201,30,0,296,1
202,1,0,1676,1
203,21,0,384,1
204,8,0,1590,1
205,1,0,1798,1
206,8,0,1238,1
207,8,0,2130,1
208,8,0,722,1
209,4,0,527,1
210,17,0,2526,1
211,4,0,363,1
212,4,0,2903,1
