(-1, 0, 277)
(-3, 0, 208)
(-45, 0, 598)
(-17, 0, 2324)
(-8, 0, 1310)
(-3, 0, 1197)
(-11, 0, 1379)
(-1, 0, 2743)
(-3, 0, 925)
(-7, 0, 1408)
(-10, 0, 1729)
(-13, 0, 523)
(-7, 0, 2013)
(-8, 0, 1240)
(-5, 0, 2028)
(-1, 0, 25)
(-29, 0, 2887)
(-20, 0, 877)
(-6, 0, 51)
(-5, 0, 362)
(-2, 0, 1143)
(-3, 0, 1876)
(-10, 0, 833)
(-2, 0, 1102)
(-23, 0, 2943)
(-12, 0, 1817)
(-24, 0, 1953)
(-3, 0, 729)
(-6, 0, 2313)
(-8, 0, 1774)
(-6, 0, 43)
(-2, 0, 2910)
(-1, 0, 1344)
(-7, 0, 1612)
(-2, 0, 2945)
(-5, 0, 126)
(-6, 0, 1297)
(-3, 0, 1702)
(-1, 0, 2671)
(-8, 0, 185)
(-11, 0, 365)
(-9, 0, 1479)
(-10, 0, 1529)
(-13, 0, 899)
(-1, 0, 2307)
(-21, 0, 743)
(-19, 0, 1683)
(-5, 0, 2487)
(-10, 0, 171)
(-3, 0, 424)
(-4, 0, 1548)
(-8, 0, 1789)
(-12, 0, 2133)
(-14, 0, 500)
(-16, 0, 1649)
(-2, 0, 881)
(-8, 0, 1589)
(-7, 0, 2931)
(-8, 0, 2915)
(-1, 0, 639)
(-13, 0, 1872)
(-1, 0, 1917)
(-7, 0, 2913)
(-18, 0, 792)
(-9, 0, 1268)
(-7, 0, 476)
(-6, 0, 1895)
(-7, 0, 2876)
(-31, 0, 1101)
(-27, 0, 2801)
(-9, 0, 2979)
(-5, 0, 2308)
(-9, 0, 496)
(-13, 0, 1875)
(-2, 0, 2223)
(-9, 0, 1286)
(-4, 0, 2158)
(-2, 0, 2451)
(-6, 0, 1634)
(-8, 0, 1335)
(-8, 0, 2321)
(-21, 0, 1676)
(-1, 0, 1182)
(-1, 0, 969)
(-2, 0, 2195)
(-13, 0, 43)
(-8, 0, 1177)
(-16, 0, 2228)
(-3, 0, 315)
(-1, 0, 189)
(-10, 0, 1262)
(-8, 0, 1879)
(-6, 0, 1244)
(-17, 0, 1003)
(-8, 0, 1615)
(-8, 0, 1487)
(-6, 0, 576)
(-10, 0, 559)
(-4, 0, 609)
(-69, 0, 2827)
(-9, 0, 2269)
(-5, 0, 1728)
(-3, 0, 2386)
(-1, 0, 2560)
(-3, 0, 1698)
(-6, 0, 480)
(-19, 0, 570)
(-1, 0, 2245)
(-10, 0, 2500)
(-4, 0, 2331)
(-6, 0, 2566)
(-6, 0, 418)
(-4, 0, 2340)
(-8, 0, 2717)
(-2, 0, 2472)
(-6, 0, 1148)
(-8, 0, 922)
(-1, 0, 1206)
(-21, 0, 1332)
(-8, 0, 2782)
(-6, 0, 1966)
(-9, 0, 1268)
(-6, 0, 1705)
(-8, 0, 1698)
(-1, 0, 1974)
(-25, 0, 1523)
(-4, 0, 2352)
(-13, 0, 845)
(-19, 0, 2197)
(-5, 0, 1183)
(-5, 0, 733)
(-8, 0, 1084)
(-16, 0, 2045)
(-8, 0, 1147)
(-8, 0, 897)
(-8, 0, 390)
(-20, 0, 259)
(-10, 0, 2457)
(-14, 0, 2243)
(-8, 0, 2053)
(-8, 0, 1749)
(-10, 0, 211)
(-21, 0, 2174)
(-1, 0, 2655)
(-3, 0, 1069)
(-2, 0, 1018)
(-4, 0, 1451)
(-6, 0, 2323)
(-21, 0, 2060)
(-25, 0, 1142)
(-37, 0, 2903)
(-1, 0, 2182)
(-6, 0, 501)
(-13, 0, 1593)
(-8, 0, 629)
(-7, 0, 1191)
(-11, 0, 1006)
(-4, 0, 2711)
(-5, 0, 2007)
(-13, 0, 749)
(-15, 0, 2299)
(-3, 0, 2867)
(-3, 0, 99)
(-1, 0, 2698)
(-14, 0, 927)
(-3, 0, 2704)
(-35, 0, 1239)
(-1, 0, 639)
(-8, 0, 1892)
(-21, 0, 1104)
(-4, 0, 437)
(-13, 0, 2668)
