# lvl,swIdx,name,UP,upPorts,DN,,,,,,,,,,,,,,,,,,,,,,,
0,0,H_0_0_0_0,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,1,H_0_0_0_1,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,2,H_0_0_0_2,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,3,H_0_0_0_3,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,4,H_0_0_0_4,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,5,H_0_0_0_5,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,6,H_0_0_0_6,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,7,H_0_0_0_7,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,8,H_0_0_0_8,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,9,H_0_0_0_9,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,10,H_0_0_0_10,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,11,H_0_0_0_11,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,12,H_0_0_1_0,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,13,H_0_0_1_1,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,14,H_0_0_1_2,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,15,H_0_0_1_3,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,16,H_0_0_1_4,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,17,H_0_0_1_5,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,18,H_0_0_1_6,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,19,H_0_0_1_7,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,20,H_0_0_1_8,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,21,H_0_0_1_9,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
0,22,H_0_0_1_10,UP,1,,,,,,,,,,,,,,,,,,,,,,,,
